Animal,NT,ASD,P(a),P(h),Lambda,Value
whale,0.16448379763090076,0.07276669538632816,0.01,0.99,380.1,2.2604269268740897
whale,0.16448379763090076,0.07266820072404759,0.01,0.99,380.20000000000005,2.263490715223795
whale,0.16448379763090076,0.07256955879417816,0.01,0.99,380.3,2.2665674197828576
whale,0.16448379763090076,0.07247129034520423,0.01,0.99,380.40000000000003,2.269640803239616
whale,0.16448379763090076,0.07237264032295625,0.01,0.99,380.5,2.272734515376349
whale,0.16448379763090076,0.07227459387546281,0.01,0.99,380.6,2.2758176671919417
whale,0.16448379763090076,0.07217642645051847,0.01,0.99,380.70000000000005,2.278913015230324
whale,0.16448379763090076,0.07207862032180787,0.01,0.99,380.8,2.282005356047792
whale,0.16448379763090076,0.07198067230596857,0.01,0.99,380.90000000000003,2.285110604854158
whale,0.16448379763090076,0.07188284411250355,0.01,0.99,381.0,2.2882205018692336
shark,0.12045161314669131,0.054254270017874834,0.01,0.99,108.7,2.2201314865540875
shark,0.12045161314669131,0.05416370958346548,0.01,0.99,108.80000000000001,2.2238434936048304
shark,0.12045161314669131,0.05407317591192329,0.01,0.99,108.9,2.2275668317113104
shark,0.12045161314669131,0.053982717592432686,0.01,0.99,109.0,2.2312995439780576
shark,0.12045161314669131,0.05389230760481607,0.01,0.99,109.10000000000001,2.2350427825422563
shark,0.12045161314669131,0.05380193662952136,0.01,0.99,109.2,2.238796978185335
shark,0.12045161314669131,0.05371158421060599,0.01,0.99,109.30000000000001,2.242563032108569
shark,0.12045161314669131,0.053621296131030644,0.01,0.99,109.4,2.2463390823741385
shark,0.12045161314669131,0.053531060946606465,0.01,0.99,109.5,2.250125646992752
shark,0.12045161314669131,0.053440894182858224,0.01,0.99,109.60000000000001,2.2539221131769076
shark,0.12045161314669131,0.05335075199941321,0.01,0.99,109.7,2.257730371785877
shark,0.12045161314669131,0.05326063728002427,0.01,0.99,109.80000000000001,2.2615503549723286
shark,0.12045161314669131,0.05317059587554313,0.01,0.99,109.9,2.265380162912476
shark,0.12045161314669131,0.053080577046465974,0.01,0.99,110.0,2.269221998872576
shark,0.12045161314669131,0.05299066505363805,0.01,0.99,110.10000000000001,2.2730723048062926
shark,0.12045161314669131,0.0529007388063657,0.01,0.99,110.2,2.276936312507549
shark,0.12045161314669131,0.052810893921252385,0.01,0.99,110.30000000000001,2.2808099655783076
shark,0.12045161314669131,0.052721092968502165,0.01,0.99,110.4,2.2846949174337916
shark,0.12045161314669131,0.05263130735637993,0.01,0.99,110.5,2.288592459447813
monkey,0.10557328699195069,0.047508726225864197,0.01,0.99,63.900000000000006,2.2221872775548253
monkey,0.10557328699195069,0.04742981884346412,0.01,0.99,64.0,2.225884255227317
monkey,0.10557328699195069,0.047350974125843034,0.01,0.99,64.10000000000001,2.2295906038041
monkey,0.10557328699195069,0.04727218537747493,0.01,0.99,64.2,2.233306671754932
monkey,0.10557328699195069,0.047193470742161736,0.01,0.99,64.3,2.2370316344975567
monkey,0.10557328699195069,0.04711482278641942,0.01,0.99,64.4,2.2407658725691224
monkey,0.10557328699195069,0.0470362059071929,0.01,0.99,64.5,2.2445111155490998
monkey,0.10557328699195069,0.046957690075778345,0.01,0.99,64.60000000000001,2.24826406114911
monkey,0.10557328699195069,0.04687922507684263,0.01,0.99,64.7,2.2520271360906454
monkey,0.10557328699195069,0.04680083760102091,0.01,0.99,64.8,2.2557990925711064
monkey,0.10557328699195069,0.04672250218890762,0.01,0.99,64.9,2.2595811877775422
monkey,0.10557328699195069,0.046644226230414434,0.01,0.99,65.0,2.2633731015375163
monkey,0.10557328699195069,0.046566004040090155,0.01,0.99,65.10000000000001,2.2671751456504468
monkey,0.10557328699195069,0.04648786286420045,0.01,0.99,65.2,2.270986027048599
monkey,0.10557328699195069,0.0464097934722395,0.01,0.99,65.3,2.2748062228525203
monkey,0.10557328699195069,0.046331783941921,0.01,0.99,65.4,2.2786363487383006
monkey,0.10557328699195069,0.046253837008550576,0.01,0.99,65.5,2.2824763050994927
monkey,0.10557328699195069,0.046175957983138394,0.01,0.99,65.60000000000001,2.286325863136436
