Animal,NT,ASD,P(a),P(h),Lambda,Value
pig,0.0801699981728733,0.03577299890027975,0.55,0.44999999999999996,3,2.241075689414632
fox,0.10948352011615956,0.04905823398367185,0.56,0.43999999999999995,3,2.231705286264466
fox,0.10948352011615956,0.04795042103367192,0.5700000000000001,0.42999999999999994,3,2.2832650424336762
whale,0.16448379763090076,0.07270429271660156,0.56,0.43999999999999995,3,2.262367069191527
shark,0.12045161314669131,0.05333611921927621,0.54,0.45999999999999996,3,2.25834978078343
monkey,0.10557328699195069,0.04702768030979016,0.5700000000000001,0.42999999999999994,3,2.244918020546563
