Animal,NT,ASD,P(a),P(h),Lambda,Value
fox,0.10948352011615956,0.04872004980064016,0.5,0.5,30.6,2.24719639171471
fox,0.10948352011615956,0.04868920636985211,0.5,0.5,30.700000000000003,2.248619936100472
fox,0.10948352011615956,0.048658283251756335,0.5,0.5,30.8,2.250048970073512
fox,0.10948352011615956,0.04862726989718964,0.5,0.5,30.900000000000002,2.251483999567227
fox,0.10948352011615956,0.04859617432053865,0.5,0.5,31.0,2.2529246725063197
fox,0.10948352011615956,0.04856499389163111,0.5,0.5,31.1,2.254371129140122
fox,0.10948352011615956,0.048533730794656886,0.5,0.5,31.200000000000003,2.2558232866823555
fox,0.10948352011615956,0.04850237981080061,0.5,0.5,31.3,2.257281406463679
fox,0.10948352011615956,0.04847095908507094,0.5,0.5,31.400000000000002,2.2587446624277856
fox,0.10948352011615956,0.04843944215602587,0.5,0.5,31.5,2.2602143055964112
fox,0.10948352011615956,0.04840783201221414,0.5,0.5,31.6,2.261690217577498
fox,0.10948352011615956,0.04837614580696212,0.5,0.5,31.700000000000003,2.263171616710381
fox,0.10948352011615956,0.04834437664749705,0.5,0.5,31.8,2.2646588436636277
fox,0.10948352011615956,0.04831251524065946,0.5,0.5,31.900000000000002,2.2661523535007144
fox,0.10948352011615956,0.048280574826199116,0.5,0.5,32.0,2.2676515453736705
fox,0.10948352011615956,0.04824854889577206,0.5,0.5,32.1,2.2691567440228946
fox,0.10948352011615956,0.04821643826668972,0.5,0.5,32.2,2.27066793093666
fox,0.10948352011615956,0.048184236685734794,0.5,0.5,32.300000000000004,2.272185420933995
fox,0.10948352011615956,0.0481519574812242,0.5,0.5,32.4,2.273708605903514
fox,0.10948352011615956,0.04811958915559759,0.5,0.5,32.5,2.2752380483162065
fox,0.10948352011615956,0.048087136814951206,0.5,0.5,32.6,2.2767735275542345
fox,0.10948352011615956,0.04805460190754063,0.5,0.5,32.7,2.2783149952383566
fox,0.10948352011615956,0.04802197946215391,0.5,0.5,32.800000000000004,2.2798627075013314
fox,0.10948352011615956,0.04798928056883225,0.5,0.5,32.9,2.2814161583257024
fox,0.10948352011615956,0.04795648501822524,0.5,0.5,33.0,2.2829763289480405
fox,0.10948352011615956,0.04792361510224071,0.5,0.5,33.1,2.284542179937518
fox,0.10948352011615956,0.047890667329465,0.5,0.5,33.2,2.2861138969512584
fox,0.10948352011615956,0.04785762826986014,0.5,0.5,33.300000000000004,2.2876921417585225
fox,0.10948352011615956,0.047824499513418335,0.5,0.5,33.4,2.2892768608156846
whale,0.16448379763090076,0.07404477133362834,0.5,0.5,346.20000000000005,2.2214100289374303
whale,0.16448379763090076,0.07395012515691064,0.5,0.5,346.3,2.2242531338776206
